X,Y,GroundwaterStressEnd
68103.508,497110.845,0.0
78103.508,497110.845,0.0
88103.508,497110.845,0.0
98103.508,497110.845,0.0
108103.508,497110.845,0.0
118103.508,497110.845,0.0
128103.508,497110.845,0.0
138103.508,497110.845,0.0
148103.508,497110.845,0.0
158103.508,497110.845,0.0
168103.508,497110.845,0.0
178103.508,497110.845,0.0
188103.508,497110.845,0.0
198103.508,497110.845,0.0
208103.508,497110.845,0.0
218103.508,497110.845,0.0
228103.508,497110.845,0.0
238103.508,497110.845,0.0
248103.508,497110.845,0.0
258103.508,497110.845,0.0
268103.50800000003,497110.845,0.0
278103.50800000003,497110.845,0.0
288103.50800000003,497110.845,0.0
298103.50800000003,497110.845,0.0
308103.50800000003,497110.845,0.0
318103.50800000003,497110.845,0.0
328103.50800000003,497110.845,0.0
338103.508,497110.845,0.0
348103.508,497110.845,0.0
358103.508,497110.845,0.0
368103.508,497110.845,0.0
378103.508,497110.845,0.0
388103.508,497110.845,0.0
398103.508,497110.845,0.0
408103.508,497110.845,0.0
418103.508,497110.845,0.0
428103.508,497110.845,0.0
438103.508,497110.845,0.0
448103.508,497110.845,0.0
458103.508,497110.845,0.0
468103.508,497110.845,0.0
478103.508,497110.845,0.0
488103.508,497110.845,0.0
498103.508,497110.845,0.0
508103.508,497110.845,0.0
518103.508,497110.845,0.0
528103.5079999999,497110.845,0.0
538103.5079999999,497110.845,0.0
548103.5079999999,497110.845,0.0
558103.5079999999,497110.845,0.0
568103.5079999999,497110.845,0.0
578103.5079999999,497110.845,0.0
588103.5079999999,497110.845,0.0
598103.5079999999,497110.845,0.0
608103.5079999999,497110.845,0.0
618103.5079999999,497110.845,0.0
628103.5079999999,497110.845,0.0
638103.5079999999,497110.845,0.0
648103.5079999999,497110.845,0.0
658103.5079999999,497110.845,0.0
668103.5079999999,497110.845,0.0
678103.5079999999,497110.845,0.0
688103.5079999999,497110.845,0.0
698103.5079999999,497110.845,0.0
708103.5079999998,497110.845,0.0
718103.5079999998,497110.845,0.0
728103.5079999998,497110.845,0.0
738103.5079999998,497110.845,0.0
748103.5079999998,497110.845,0.0
758103.5079999998,497110.845,0.0
768103.5079999998,497110.845,0.0
778103.5079999998,497110.845,0.0
788103.5079999998,497110.845,0.0
798103.5079999998,497110.845,0.0
808103.5079999998,497110.845,0.0
818103.5079999998,497110.845,2.079790884002909
828103.5079999998,497110.845,0.6037348430551444
838103.5079999998,497110.845,6.180776181962373
848103.5079999998,497110.845,25.843113024163955
858103.5079999998,497110.845,10.779431895926022
868103.5079999998,497110.845,20.750165048266606
878103.5079999998,497110.845,44.56383614901731
888103.5079999998,497110.845,22.909086704756486
898103.5079999998,497110.845,27.602481540189476
908103.508,497110.845,2.4735837872430073
918103.508,497110.845,0.0
928103.508,497110.845,0.0
938103.508,497110.845,0.0
948103.508,497110.845,0.0
958103.508,497110.845,0.0
968103.508,497110.845,0.0
978103.508,497110.845,0.0
988103.508,497110.845,0.0
998103.508,497110.845,0.0
1008103.508,497110.845,0.0
1018103.508,497110.845,0.0
1028103.508,497110.845,0.0
1038103.508,497110.845,0.0
1048103.508,497110.845,0.0
1058103.508,497110.845,0.0
1068103.508,497110.845,0.0
1078103.508,497110.845,0.0
1088103.508,497110.845,0.0
1098103.508,497110.845,0.0
1108103.508,497110.845,0.0
1118103.508,497110.845,0.0
1128103.508,497110.845,0.0
1138103.508,497110.845,0.0
1148103.508,497110.845,0.0
1158103.508,497110.845,0.0
1168103.508,497110.845,0.0
1178103.508,497110.845,0.0
1188103.508,497110.845,0.0
1198103.508,497110.845,0.0
1208103.508,497110.845,0.0
1218103.508,497110.845,0.0
