X,Y,Cluster
68103.508,497110.845,
78103.508,497110.845,
88103.508,497110.845,
98103.508,497110.845,
108103.508,497110.845,
118103.508,497110.845,
128103.508,497110.845,
138103.508,497110.845,
148103.508,497110.845,
158103.508,497110.845,
168103.508,497110.845,
178103.508,497110.845,
188103.508,497110.845,
198103.508,497110.845,
208103.508,497110.845,
218103.508,497110.845,
228103.508,497110.845,
238103.508,497110.845,
248103.508,497110.845,
258103.508,497110.845,
268103.50800000003,497110.845,
278103.50800000003,497110.845,
288103.50800000003,497110.845,
298103.50800000003,497110.845,
308103.50800000003,497110.845,
318103.50800000003,497110.845,
328103.50800000003,497110.845,
338103.508,497110.845,
348103.508,497110.845,
358103.508,497110.845,
368103.508,497110.845,
378103.508,497110.845,
388103.508,497110.845,
398103.508,497110.845,
408103.508,497110.845,
418103.508,497110.845,
428103.508,497110.845,
438103.508,497110.845,
448103.508,497110.845,
458103.508,497110.845,
468103.508,497110.845,
478103.508,497110.845,
488103.508,497110.845,
498103.508,497110.845,
508103.508,497110.845,
518103.508,497110.845,
528103.5079999999,497110.845,
538103.5079999999,497110.845,
548103.5079999999,497110.845,
558103.5079999999,497110.845,
568103.5079999999,497110.845,
578103.5079999999,497110.845,
588103.5079999999,497110.845,
598103.5079999999,497110.845,
608103.5079999999,497110.845,
618103.5079999999,497110.845,
628103.5079999999,497110.845,
638103.5079999999,497110.845,
648103.5079999999,497110.845,
658103.5079999999,497110.845,
668103.5079999999,497110.845,
678103.5079999999,497110.845,
688103.5079999999,497110.845,
698103.5079999999,497110.845,
708103.5079999998,497110.845,
718103.5079999998,497110.845,
728103.5079999998,497110.845,
738103.5079999998,497110.845,
748103.5079999998,497110.845,
758103.5079999998,497110.845,
768103.5079999998,497110.845,
778103.5079999998,497110.845,
788103.5079999998,497110.845,
798103.5079999998,497110.845,
808103.5079999998,497110.845,22.0
818103.5079999998,497110.845,22.0
828103.5079999998,497110.845,22.0
838103.5079999998,497110.845,22.0
848103.5079999998,497110.845,22.0
858103.5079999998,497110.845,22.0
868103.5079999998,497110.845,22.0
878103.5079999998,497110.845,22.0
888103.5079999998,497110.845,22.0
898103.5079999998,497110.845,22.0
908103.508,497110.845,3.0
918103.508,497110.845,
928103.508,497110.845,
938103.508,497110.845,
948103.508,497110.845,
958103.508,497110.845,
968103.508,497110.845,
978103.508,497110.845,
988103.508,497110.845,
998103.508,497110.845,
1008103.508,497110.845,
1018103.508,497110.845,
1028103.508,497110.845,
1038103.508,497110.845,
1048103.508,497110.845,
1058103.508,497110.845,
1068103.508,497110.845,
1078103.508,497110.845,
1088103.508,497110.845,
1098103.508,497110.845,
1108103.508,497110.845,
1118103.508,497110.845,
1128103.508,497110.845,
1138103.508,497110.845,
1148103.508,497110.845,
